chr	start	end	arm
1	11869	121322322	1p
1	142553293	249231242	1q
2	38814	92223026	2p
2	95391419	243160825	2q
3	65431	90310858	3p
3	93562608	197955247	3q
4	48991	49601526	4p
4	52709166	191013719	4q
5	58313	45896072	5p
5	49692026	180899431	5q
6	95124	58513860	6p
6	61996403	171055065	6q
7	70972	57896752	7p
7	61821869	159026067	7q
8	14091	43529734	8p
8	47172182	146281416	8q
9	11987	47314322	9p
9	65467783	141150148	9q
10	90652	39076239	10p
10	42644758	135516024	10q
11	75780	51527800	11p
11	55029658	134945793	11q
12	67607	34402893	12p
12	37935814	133815135	12q
13	19041312	115099423	13q
14	19110203	107288019	14q
15	20083769	102519298	15q
16	61553	35146887	16p
16	46503253	90289086	16q
17	4961	22205012	17p
17	25308720	81188573	17q
18	11103	15330281	18p
18	18526867	78005429	18q
19	60105	24346227	19p
19	28129391	59111168	19q
20	67891	26232162	20p
20	29449474	62944485	20q
21	9683191	11184046	21p
21	14371997	48111157	21q
22	16062157	51239737	22q
X	170410	58012567	Xp
X	61998720	155257848	Xq
Y	2652790	10037915	Yp
Y	13262741	59001635	Yq
